cloud,profile,weighting,sigma_bin_left_g_cm2,sigma_bin_right_g_cm2,sigma_bin_center_g_cm2,probability_density_per_ln_sigma,probability_density_normalized_to_peak,common_pixel_count,profile_censored_pixel_count,shared_display_minimum_g_cm2
C,bt12,area,0.6493816315762113,0.7498942093324559,0.6978305848598664,0.0,0.0,602263,22,0.01
C,bt12,area,0.7498942093324559,0.8659643233600653,0.8058421877614819,0.0,0.0,602263,22,0.01
C,bt12,area,0.8659643233600653,1.0,0.930572040929699,0.0,0.0,602263,22,0.01
C,conservative,area,0.01,0.011547819846894581,0.010746078283213174,0.09033995562211129,0.19479550204000456,602263,68,0.01
C,conservative,area,0.011547819846894581,0.01333521432163324,0.012409377607517195,0.1311256188563587,0.2827395760772208,602263,68,0.01
C,conservative,area,0.01333521432163324,0.01539926526059492,0.014330125702369627,0.1572699789380586,0.3391133446114051,602263,68,0.01
C,conservative,area,0.01539926526059492,0.01778279410038923,0.016548170999431816,0.19167531069605692,0.4132998308289369,602263,68,0.01
C,conservative,area,0.01778279410038923,0.02053525026457146,0.019109529749704406,0.2286535428504458,0.4930341327495258,602263,68,0.01
C,conservative,area,0.02053525026457146,0.023713737056616554,0.0220673406908459,0.27450424318790106,0.5918996915115932,602263,68,0.01
C,conservative,area,0.023713737056616554,0.027384196342643614,0.025482967479793464,0.32133564547016685,0.6928798885461219,602263,68,0.01
C,conservative,area,0.027384196342643614,0.03162277660168379,0.029427271762092817,0.3632981510381905,0.7833615285102995,602263,68,0.01
C,conservative,area,0.03162277660168379,0.03651741272548377,0.03398208328942559,0.40804123506150425,0.8798387899293462,602263,68,0.01
C,conservative,area,0.03651741272548377,0.042169650342858224,0.03924189758484536,0.44079668001823136,0.9504677082296746,602263,68,0.01
C,conservative,area,0.042169650342858224,0.04869675251658631,0.04531583637600818,0.45011911732891524,0.9705692108667499,602263,68,0.01
C,conservative,area,0.04869675251658631,0.05623413251903491,0.05232991146814947,0.45824163696594933,0.988083391382227,602263,68,0.01
C,conservative,area,0.05623413251903491,0.06493816315762113,0.060429639023813285,0.4637681808667145,1.0,602263,68,0.01
C,conservative,area,0.06493816315762113,0.07498942093324558,0.06978305848598663,0.4623028967844643,0.9968404816399611,602263,68,0.01
C,conservative,area,0.07498942093324558,0.08659643233600653,0.08058421877614817,0.43643544078130186,0.9410637874415365,602263,68,0.01
C,conservative,area,0.08659643233600653,0.1,0.09305720409296989,0.4186443537354136,0.9027017613692877,602263,68,0.01
C,conservative,area,0.1,0.11547819846894582,0.10746078283213176,0.3431649169946932,0.7399492486814607,602263,68,0.01
C,conservative,area,0.11547819846894582,0.1333521432163324,0.12409377607517195,0.2917645974165956,0.6291173251069758,602263,68,0.01
C,conservative,area,0.1333521432163324,0.1539926526059492,0.14330125702369628,0.2436294384312252,0.525325903074932,602263,68,0.01
C,conservative,area,0.1539926526059492,0.1778279410038923,0.16548170999431816,0.2024284190791744,0.43648621753408234,602263,68,0.01
C,conservative,area,0.1778279410038923,0.2053525026457146,0.19109529749704407,0.16688085799721733,0.3598367996815598,602263,68,0.01
